granter_ministry,grant_date,grant_month,grant_year,amount,grantee_clean,grantee,grantee_detail,grantee_jcn,description,grant_name,grant_type,npo_type,admin_division,filename
MOFA,2011-04-12,2011 Apr,2011,1986701,オイスカ,公益財団法人オイスカ,（公財）オイスカ,NA,国際開発協力関係民間公益団体補助金,"（目）政府開発援助海外
　　　技術協力推進民間
　　　団体補助金",Subsidy,公財,国所管,h23_youshiki1
MOFA,2011-04-12,2011 Apr,2011,1999946,オイスカ,公益財団法人オイスカ,（公財）オイスカ,NA,国際開発協力関係民間公益団体補助金,"（目）政府開発援助海外
　　　技術協力推進民間
　　　団体補助金",Subsidy,公財,国所管,h23_youshiki1
MOFA,2010-07-07,2010 Jul,2010,83100115,国際開発高等教育機構,財団法人国際開発高等教育機構,（財）国際開発高等教育機構,NA,開発計画等人材育成関係委託費「国際開発指導者育成高等教育事業」（修士課程：ＩＤＳプログラムの企画・運営／修士課程２年目）,（目）政府開発援助経済開発計画実施設計等委託費,Subsidy,特財,国所管,h23_youshiki1
MOFA,2011-08-26,2011 Aug,2011,6980792,国際開発高等教育機構,財団法人国際開発高等教育機構,（財）国際開発高等教育機構,NA,平成２３年度開発援助調査研究業務（「ポストMDGs研究」）,（目）政府開発援助経済開発計画実施設計等委託費,Subsidy,特財,国所管,h23_youshiki1
MOFA,2011-08-30,2011 Aug,2011,19343190,国際開発高等教育機構,財団法人国際開発高等教育機構,（財）国際開発高等教育機構,NA,平成２３年度国際機関向け人材発掘・育成研修コース,（目）政府開発援助経済開発計画実施設計等委託費,Subsidy,特財,国所管,h23_youshiki1
MOFA,2011-04-01,2011 Apr,2011,257148000,フォ-リン・プレスセンタ-,公益財団法人フォーリン・プレスセンター,"（公財）フォーリン・
　　　　 プレスセンター",NA,啓発宣伝事業等委託費,"（目）啓発宣伝事業等
　　　委託費",Subsidy,公財,国所管,h23_youshiki1
MOFA,2011-04-01,2011 Apr,2011,679169962,アジア福祉教育財団,公益財団法人アジア福祉教育財団,（公財）アジア福祉教育財団,NA,難民等救援業務委託費,（目）政府開発援助難民等救援業務委託費,Subsidy,公財,国所管,h23_youshiki1
MOFA,2011-04-01,2011 Apr,2011,92427639,アジア福祉教育財団,公益財団法人アジア福祉教育財団,（公財）アジア福祉教育財団,NA,難民等定住支援事業委託費,（目）難民救援業務委託費,Subsidy,公財,国所管,h23_youshiki1
MOFA,2011-04-01,2011 Apr,2011,215416819,日本国際問題研究所,公益財団法人日本国際問題研究所,（公財）日本国際問題研究所,NA,調査研究機関間対話・交流促進事業費等補助金,"（目）国際問題調査研究
　　　事業費等補助金",Subsidy,公財,国所管,h23_youshiki1
MOFA,2011-04-01,2011 Apr,2011,102527000,日本国際問題研究所,公益財団法人日本国際問題研究所,（公財）日本国際問題研究所,NA,国際問題調査研究機関運営支援補助金,"（目）国際問題調査研究
　　　事業費等補助金",Subsidy,公財,国所管,h23_youshiki1
MOFA,2011-05-06,2011 May,2011,28709139,日本国際問題研究所,公益財団法人日本国際問題研究所,（公財）日本国際問題研究所,NA,国際問題調査研究・提言事業費補助金,"（目）国際問題調査研究
　　　事業費等補助金",Subsidy,公財,国所管,h23_youshiki1
MOFA,2011-04-01,2011 Apr,2011,194633000,日本国際問題研究所,公益財団法人日本国際問題研究所,（公財）日本国際問題研究所,NA,包括的核実験禁止条約国内運用体制整備事業等委託費,（目）包括的核実験禁止条約国内運用体制整備事業等委託費,Subsidy,公財,国所管,h23_youshiki1
MOFA,2011-05-06,2011 May,2011,19299517,日本国際フォ-ラム,公益財団法人日本国際フォーラム,（公財）日本国際フォーラム,NA,国際問題調査研究・提言事業費補助金,"（目）国際問題調査研究
　　　事業費等補助金",Subsidy,公財,国所管,h23_youshiki1
MOFA,2011-09-05,2011 Sep,2011,580385,結核予防会,公益財団法人結核予防会,（公財）結核予防会,NA,国際開発協力関係民間公益団体補助金,"（目）政府開発援助海外
　　　技術協力推進民間
　　　団体補助金",Subsidy,公財,国所管,h23_youshiki1
MOFA,2012-03-08,2012 Mar,2012,1468419000,日中友好会館,公益財団法人日中友好会館,（公財）日中友好会館,NA,アジア大洋州地域青少年交流拠出金,(目)政府開発援助経済協力国際機関等拠出金,Subsidy,公財,国所管,h23_youshiki1
MOFA,2011-05-06,2011 May,2011,1341035,ジョイセフ,公益財団法人ジョイセフ,（財）家族計画国際協力財団,NA,国際開発協力関係民間公益団体補助金,"（目）政府開発援助海外
　　　技術協力推進民間
　　　団体補助金",Subsidy,公財,国所管,h23_youshiki1
MOFA,2011-04-01,2011 Apr,2011,1325121000,交流協会,公益財団法人交流協会,（公財）交流協会,NA,国際友好団体補助金,（目）国際友好団体補助金,Subsidy,公財,国所管,h23_youshiki1
MOFA,2012-03-08,2012 Mar,2012,633527000,日韓文化交流基金,公益財団法人日韓文化交流基金,（公財）日韓文化交流基金,NA,アジア大洋州地域青少年交流拠出金,(目)政府開発援助経済協力国際機関等拠出金,Subsidy,公財,国所管,h23_youshiki1
MOFA,2011-07-20,2011 Jul,2011,294864000,日韓文化交流基金,公益財団法人日韓文化交流基金,（公財）日韓文化交流基金,NA,日韓学術文化青少年交流基金拠出金,(目)経済協力国際機関等拠出金,Subsidy,公財,国所管,h23_youshiki1
MOFA,2011-07-21,2011 Jul,2011,33190000,日韓産業技術協力財団,財団法人日韓産業技術協力財団,（財）日韓産業技術協力財団,NA,日韓産業技術協力共同事業体拠出金,(目)経済協力国際機関等拠出金,Subsidy,特財,国所管,h23_youshiki1
MOFA,2011-05-27,2011 May,2011,40071000,北方領土復帰期成同盟,社団法人北方領土復帰期成同盟,（社）北方領土復帰期成同盟,NA,北方領土対策事業補助金,"（目）北方領土対策事業
　　　費補助金",Subsidy,特社,国所管,h23_youshiki1
MOF,2011-04-01,2011 Apr,2011,42983000,日本製鐵八幡共済組合,一般財団法人日本製鐵八幡共済組合,財団法人日本製鐵八幡共済組合,NA,日本製鉄八幡共済組合年金交付金の交付,(目)日本製鉄八幡共済組合年金交付金,Subsidy,特財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,169863070,かずさDNA研究所,公益財団法人かずさDNA研究所,財団法人かずさディー・エヌ・エー研究所,NA,<都市エリア型（発展）>先端ゲノム解析技術を基礎とした免疫・アレルギー疾患克服のための産学官連携クラスター形成,（目）地域産学官連携科学技術振興事業費補助金,Subsidy,特財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,8002800,実験動物中央研究所,公益財団法人実験動物中央研究所,公益財団法人実験動物中央研究所,NA,iPS由来再生心筋細胞移植の安全性評価,（目）科学技術戦略推進費補助金,Subsidy,公財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,199689000,アイヌ文化振興・研究推進機構,財団法人アイヌ文化振興・研究推進機構,財団法人アイヌ文化振興・研究推進機構,NA,アイヌ文化振興等事業,（目）アイヌ文化振興等事業費補助金,Subsidy,特財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,606174000,交流協会,公益財団法人交流協会,財団法人交流協会,NA,交流協会,（目）文化交流団体補助金,Subsidy,特財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,100000000,ユニジャパン,公益財団法人ユニジャパン,公益財団法人ユニジャパン,NA,国際芸術フェスティバル支援事業,（目）文化芸術振興費補助金,Subsidy,公財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,2588214000,日本オリンピック委員会,公益財団法人日本オリンピック委員会,公益財団法人日本オリンピック委員会,NA,日本オリンピック委員会補助,（目）民間スポーツ振興費等補助金,Subsidy,公財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,45102000,日本学校保健会,公益財団法人日本学校保健会,財団法人日本学校保健会,NA,日本学校保健会補助,（目）健康教育振興事業費補助金,Subsidy,特財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,5906000,日本体育協会,公益財団法人日本体育協会,公益財団法人日本体育協会,NA,日本体育協会補助,（目）政府開発援助民間スポーツ振興費等補助金,Subsidy,公財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,495894000,日本体育協会,公益財団法人日本体育協会,公益財団法人日本体育協会,NA,日本体育協会補助,（目）民間スポーツ振興費等補助金,Subsidy,公財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,42407000,日本武道館,財団法人日本武道館,財団法人日本武道館,NA,日本武道館補助,（目）民間スポーツ振興費等補助金,Subsidy,特財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,3869630,AFS日本協会,公益財団法人ＡＦＳ日本協会,公益財団法人AFS日本協会,NA,外国人高校生(日本語専攻)の短期招致等,（目）国際文化交流促進費補助金,Subsidy,公財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,21559370,YFU日本国際交流財団,公益財団法人YFU日本国際交流財団,財団法人ワイ・エフ・ユー日本国際交流財団,NA,外国人高校生(日本語専攻)の短期招致等,（目）国際文化交流促進費補助金,Subsidy,特財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,19702000,日本私学教育研究所,一般財団法人日本私学教育研究所,財団法人日本私学教育研究所,NA,教育研修活動費補助金,（目）教育研修活動費補助金,Subsidy,特財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,1114000,永青文庫,公益財団法人永青文庫,公益財団法人永青文庫,NA,国宝重要文化財等保存整備費補助金,(目)国宝重要文化財等保存整備費補助金,Subsidy,公財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,1200000,日本能楽会,一般社団法人日本能楽会,社団法人日本能楽会,NA,国宝重要文化財等保存整備費補助金,(目)国宝重要文化財等保存整備費補助金,Subsidy,特社,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,1261000,根津美術館,公益財団法人根津美術館,財団法人根津美術館,NA,国宝重要文化財等保存整備費補助金,(目)国宝重要文化財等保存整備費補助金,Subsidy,特財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,1333000,JR東海生涯学習財団,公益財団法人ＪＲ東海生涯学習財団,公益財団法人ＪＲ東海生涯学習財団,NA,国宝重要文化財等保存整備費補助金,(目)国宝重要文化財等保存整備費補助金,Subsidy,公財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,1815000,常盤山文庫,財団法人常盤山文庫,財団法人常盤山文庫,NA,国宝重要文化財等保存整備費補助金,(目)国宝重要文化財等保存整備費補助金,Subsidy,特財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,2171000,根津美術館,公益財団法人根津美術館,財団法人根津美術館,NA,国宝重要文化財等保存整備費補助金,(目)国宝重要文化財等保存整備費補助金,Subsidy,特財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,2247000,徳川黎明会,公益財団法人徳川黎明会,公益財団法人徳川黎明会,NA,国宝重要文化財等保存整備費補助金,(目)国宝重要文化財等保存整備費補助金,Subsidy,公財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,2294000,出光美術館,公益財団法人出光美術館,公益財団法人出光美術館,NA,国宝重要文化財等保存整備費補助金,(目)国宝重要文化財等保存整備費補助金,Subsidy,公財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,2408000,五島美術館,公益財団法人五島美術館,財団法人五島美術館,NA,国宝重要文化財等保存整備費補助金,(目)国宝重要文化財等保存整備費補助金,Subsidy,特財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,3124000,三井文庫,公益財団法人三井文庫,公益財団法人三井文庫,NA,国宝重要文化財等保存整備費補助金,(目)国宝重要文化財等保存整備費補助金,Subsidy,公財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,3181000,前田育徳会,公益財団法人前田育徳会,財団法人前田育徳会,NA,国宝重要文化財等保存整備費補助金,(目)国宝重要文化財等保存整備費補助金,Subsidy,特財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,7562000,薮内燕庵,財団法人薮内燕庵,財団法人薮内燕庵,NA,国宝重要文化財等保存整備費補助金,(目)国宝重要文化財等保存整備費補助金,Subsidy,特財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,8000000,古曲会,一般財団法人古曲会,財団法人古曲会,NA,国宝重要文化財等保存整備費補助金,(目)国宝重要文化財等保存整備費補助金,Subsidy,特財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,8000000,日本工芸会,公益社団法人日本工芸会,社団法人日本工芸会,NA,国宝重要文化財等保存整備費補助金,(目)国宝重要文化財等保存整備費補助金,Subsidy,特社,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,9146000,明治村,公益財団法人明治村,財団法人明治村,NA,国宝重要文化財等保存整備費補助金,(目)国宝重要文化財等保存整備費補助金,Subsidy,特財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,9329000,出光美術館,公益財団法人出光美術館,公益財団法人出光美術館,NA,国宝重要文化財等保存整備費補助金,(目)国宝重要文化財等保存整備費補助金,Subsidy,公財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,10097000,徳川ミュ-ジアム,公益財団法人徳川ミュージアム,財団法人水府明德会,NA,国宝重要文化財等保存整備費補助金,(目)国宝重要文化財等保存整備費補助金,Subsidy,特財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,30000000,伝統歌舞伎保存会,社団法人伝統歌舞伎保存会,社団法人伝統歌舞伎保存会,NA,国宝重要文化財等保存整備費補助金,(目)国宝重要文化財等保存整備費補助金,Subsidy,特社,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,80000000,文楽協会,公益財団法人文楽協会,財団法人文楽協会,NA,国宝重要文化財等保存整備費補助金,(目)国宝重要文化財等保存整備費補助金,Subsidy,特財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,6978000,現代人形劇センタ-,公益財団法人現代人形劇センター,公益財団法人現代人形劇センター,NA,地域の文化遺産を活かした観光振興・地域活性化事業,(目)文化芸術振興費補助金,Subsidy,公財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,1506280000,高輝度光科学研究センタ-,公益財団法人高輝度光科学研究センター,財団法人高輝度光科学研究センター,NA,特定先端大型研究施設利用促進交付金,（目）特定先端大型研究施設利用促進交付金,Subsidy,特財,国所管,h23_youshiki1
MEXT,2011-04-01,2011 Apr,2011,39197000,日本オペラ振興会,公益財団法人日本オペラ振興会,財団法人日本オペラ振興会,NA,優れた劇場・音楽堂からの創造発信事業,(目)文化芸術振興費補助金,Subsidy,特財,国所管,h23_youshiki1
MEXT,2011-04-14,2011 Apr,2011,2504000,かずさDNA研究所,公益財団法人かずさDNA研究所,財団法人かずさディー・エヌ・エー研究所,NA,トマトバイオリソース拠点整備（ＤＮＡレベルのトマトリソース整備）,（目）研究開発施設共用等促進費補助金,Subsidy,特財,国所管,h23_youshiki1
MEXT,2011-04-18,2011 Apr,2011,8189000,職業教育・キャリア教育財団,一般財団法人職業教育・キャリア教育財団,財団法人専修学校教育振興会　　　　　　　　　　　　　　　　,NA,教育研修活動費補助金,（目）教育研修活動費補助金,Subsidy,特財,国所管,h23_youshiki1
MEXT,2011-04-27,2011 Apr,2011,13000000,がん研究会,公益財団法人がん研究会,公益財団法人がん研究会,NA,遺伝子組換えウイルスを用いたがん治療開発（ウイルス療法の評価システムの開発）,（目）研究開発施設共用等促進費補助金,Subsidy,公財,国所管,h23_youshiki1
MEXT,2011-04-28,2011 Apr,2011,5767240,日本ユネスコ協会連盟,公益社団法人日本ユネスコ協会連盟,公益社団法人日本ユネスコ協会連盟,NA,民間ユネスコ活動への助成（アジア・太平洋地域等における開発途上国の教育、科学又は文化の普及・発展のための交流・協力事業）,（目）政府開発援助ユネスコ活動費補助金,Subsidy,公社,国所管,h23_youshiki1
MEXT,2011-04-28,2011 Apr,2011,15996921,ユネスコ・アジア文化センタ-,公益財団法人ユネスコ・アジア文化センター,財団法人ユネスコ・アジア文化センター,NA,民間ユネスコ活動への助成（アジア・太平洋地域等における開発途上国の教育、科学又は文化の普及・発展のための交流・協力事業）,（目）政府開発援助ユネスコ活動費補助金,Subsidy,特財,国所管,h23_youshiki1
MEXT,2011-06-15,2011 Jun,2011,7200000,東京交響楽団,公益財団法人東京交響楽団,公益財団法人東京交響楽団,NA,国際芸術交流支援事業,（目）文化芸術振興費補助金,Subsidy,公財,国所管,h23_youshiki1
MEXT,2011-06-21,2011 Jun,2011,102878000,海外子女教育振興財団,公益財団法人海外子女教育振興財団,公益財団法人海外子女教育振興財団,NA,海外子女教育振興事業,（目）国際文化交流促進費補助金,Subsidy,公財,国所管,h23_youshiki1
MEXT,2011-06-30,2011 Jun,2011,300000,化学工学会,公益社団法人化学工学会,公益社団法人化学工学会　,NA,科学研究費助成事業（科学研究費補助金）,（目）科学研究費補助金,Subsidy,公社,国所管,h23_youshiki1
MEXT,2011-06-30,2011 Jun,2011,300000,日本表面科学会,公益社団法人日本表面科学会,社団法人日本表面科学会,NA,科学研究費助成事業（科学研究費補助金）,（目）科学研究費補助金,Subsidy,特社,国所管,h23_youshiki1
MEXT,2011-06-30,2011 Jun,2011,600000,日本放射線技術学会,公益社団法人日本放射線技術学会,公益社団法人日本放射線技術学会,NA,科学研究費助成事業（科学研究費補助金）,（目）科学研究費補助金,Subsidy,公社,国所管,h23_youshiki1
MEXT,2011-06-30,2011 Jun,2011,700000,日本生物工学会,公益社団法人日本生物工学会,公益社団法人日本生物工学会,NA,科学研究費助成事業（科学研究費補助金）,（目）科学研究費補助金,Subsidy,公社,国所管,h23_youshiki1
MEXT,2011-06-30,2011 Jun,2011,800000,日本雪氷学会,公益社団法人日本雪氷学会,社団法人日本雪氷学会,NA,科学研究費助成事業（科学研究費補助金）,（目）科学研究費補助金,Subsidy,特社,国所管,h23_youshiki1
MEXT,2011-06-30,2011 Jun,2011,900000,電気学会,一般社団法人電気学会,社団法人電気学会,NA,科学研究費助成事業（科学研究費補助金）,（目）科学研究費補助金,Subsidy,特社,国所管,h23_youshiki1
MEXT,2011-06-30,2011 Jun,2011,1000000,日本天文学会,社団法人日本天文学会,社団法人日本天文学会,NA,科学研究費助成事業（科学研究費補助金）,（目）科学研究費補助金,Subsidy,特社,国所管,h23_youshiki1
MEXT,2011-06-30,2011 Jun,2011,1000000,日本薬理学会,公益社団法人日本薬理学会,社団法人日本薬理学会,NA,科学研究費助成事業（科学研究費補助金）,（目）科学研究費補助金,Subsidy,特社,国所管,h23_youshiki1
MEXT,2011-06-30,2011 Jun,2011,1100000,日本水環境学会,公益社団法人日本水環境学会,社団法人日本水環境学会,NA,科学研究費助成事業（科学研究費補助金）,（目）科学研究費補助金,Subsidy,特社,国所管,h23_youshiki1
MEXT,2011-06-30,2011 Jun,2011,1100000,プラズマ・核融合学会,一般社団法人プラズマ・核融合学会,社団法人プラズマ・核融合学会,NA,科学研究費助成事業（科学研究費補助金）,（目）科学研究費補助金,Subsidy,特社,国所管,h23_youshiki1
MEXT,2011-06-30,2011 Jun,2011,1300000,都市住宅学会,社団法人都市住宅学会,社団法人都市住宅学会,NA,科学研究費助成事業（科学研究費補助金）,（目）科学研究費補助金,Subsidy,特社,国所管,h23_youshiki1
MEXT,2011-06-30,2011 Jun,2011,1300000,高分子学会,公益社団法人高分子学会,社団法人高分子学会,NA,科学研究費助成事業（科学研究費補助金）,（目）科学研究費補助金,Subsidy,特社,国所管,h23_youshiki1
MEXT,2011-06-30,2011 Jun,2011,1300000,日本植物学会,公益社団法人日本植物学会,社団法人日本植物学会,NA,科学研究費助成事業（科学研究費補助金）,（目）科学研究費補助金,Subsidy,特社,国所管,h23_youshiki1
MEXT,2011-06-30,2011 Jun,2011,1400000,応用物理学会,公益社団法人応用物理学会,公益社団法人応用物理学会,NA,科学研究費助成事業（科学研究費補助金）,（目）科学研究費補助金,Subsidy,公社,国所管,h23_youshiki1
MEXT,2011-06-30,2011 Jun,2011,1400000,日本伝熱学会,公益社団法人日本伝熱学会,社団法人日本伝熱学会,NA,科学研究費助成事業（科学研究費補助金）,（目）科学研究費補助金,Subsidy,特社,国所管,h23_youshiki1
MEXT,2011-06-30,2011 Jun,2011,1400000,日本建築学会,一般社団法人日本建築学会,社団法人日本建築学会,NA,科学研究費助成事業（科学研究費補助金）,（目）科学研究費補助金,Subsidy,特社,国所管,h23_youshiki1
MEXT,2011-06-30,2011 Jun,2011,1400000,日本動物学会,公益社団法人日本動物学会,社団法人日本動物学会,NA,科学研究費助成事業（科学研究費補助金）,（目）科学研究費補助金,Subsidy,特社,国所管,h23_youshiki1
MEXT,2011-06-30,2011 Jun,2011,1400000,日本獣医師会,公益社団法人日本獣医師会,社団法人日本獣医師会,NA,科学研究費助成事業（科学研究費補助金）,（目）科学研究費補助金,Subsidy,特社,国所管,h23_youshiki1
