granter_ministry,granter_jcn,grant_date,grant_month,grant_year,amount,amount_est,grantee_clean,grantee,grantee_detail,grantee_jcn,grant_name,description,grant_type,npo_type,admin_division,num_bidders,competitive_bid,govt_reemployees,filename
CAO,NA,2011-04-01,2011 Apr,2011,3530000,3530000,日本建設情報総合センタ-,一般財団法人日本建設情報総合センター,"財団法人日本建設情報総合センター
東京都港区赤坂７－１０－２０アカサカセブンスアヴェニュービル",NA,"支出負担行為担当官
宮内庁長官官房主計課長
森山　茂樹
東京都千代田区千代田１－１",ＪＣＩＳ及びコリンズ・テクリスＷｅｂ版検索システムの利用,Goods and Services,特財,国所管,1,Negotiated,0,h23_youshiki2-4
CAO,NA,2011-04-01,2011 Apr,2011,6772500,6772500,日本建設情報総合センタ-,一般財団法人日本建設情報総合センター,財団法人日本建設情報総合センタ－東京都港区赤坂７－１０－２０　アカサカセブンスアヴェニュ－ビ,NA,"
支出負担行為担当官
沖縄総合事務局開発建設部長
中野　則夫
沖縄県那覇市おもろまち２－１－１",平成２３年度工事実績・測量調査設計業務実績情報提供業務,Goods and Services,特財,国所管,1,Negotiated,0,h23_youshiki2-4
CAO,NA,2011-04-01,2011 Apr,2011,12042000,12042000,日本道路交通情報センタ-,財団法人日本道路交通情報センター,"財団法人日本道路交通情報センター
東京都千代田区飯田橋１ー５ー１０",NA,"支出負担行為担当官
沖縄総合事務局開発建設部長
中野　則夫
沖縄県那覇市おもろまち2-1-1",平成２３年度道路情報に関する業務,Goods and Services,特財,国所管,0,Negotiated,0,h23_youshiki2-4
CAO,NA,2011-04-01,2011 Apr,2011,1142836,0,菊葉文化協会,公益財団法人菊葉文化協会,"財団法人菊葉文化協会
東京都千代田区千代田１－１",NA,"支出負担行為担当官
宮内庁長官官房主計課長
森山　茂樹
東京都千代田区千代田１－１",皇居勤労奉仕団世話業務及び窓明館管理業務,Goods and Services,特財,国所管,1,Competitive,NA,h23_youshiki2-3
CAO,NA,2011-04-01,2011 Apr,2011,3673574,0,菊葉文化協会,公益財団法人菊葉文化協会,"財団法人菊葉文化協会
東京都千代田区千代田１－１",NA,"支出負担行為担当官
宮内庁長官官房主計課長
森山　茂樹
東京都千代田区千代田１－１",三の丸尚蔵館観覧者管理業務,Goods and Services,特財,国所管,2,Competitive,NA,h23_youshiki2-3
CAO,NA,2011-04-01,2011 Apr,2011,7335769,0,菊葉文化協会,公益財団法人菊葉文化協会,"財団法人菊葉文化協会
東京都千代田区千代田１－１",NA,"支出負担行為担当官
宮内庁長官官房主計課長
森山　茂樹
東京都千代田区千代田１－１",皇居東御苑管理業務,Goods and Services,特財,国所管,2,Competitive,NA,h23_youshiki2-3
CAO,NA,2011-04-01,2011 Apr,2011,5691687,0,菊葉文化協会,公益財団法人菊葉文化協会,"財団法人菊葉文化協会
東京都千代田区千代田１－１",NA,"支出負担行為担当官
宮内庁長官官房主計課長
森山　茂樹
東京都千代田区千代田１－１",皇居東御苑苑路ほか清掃,Goods and Services,特財,国所管,3,Competitive,NA,h23_youshiki2-3
CAO,NA,2011-04-01,2011 Apr,2011,828828,0,菊葉文化協会,公益財団法人菊葉文化協会,"財団法人菊葉文化協会
東京都千代田区千代田１－１",NA,"分任支出負担行為担当官
宮内庁京都事務所長
北　　啓太
京都府京都市上京区京都御苑３",正倉院「正倉」外構監視業務,Goods and Services,特財,国所管,3,Competitive,NA,h23_youshiki2-3
CAO,NA,2011-04-01,2011 Apr,2011,1282890,―,菊葉文化協会,公益財団法人菊葉文化協会,"財団法人菊葉文化協会
東京都千代田区千代田１－１",NA,"支出負担行為担当官
宮内庁長官官房主計課長
森山　茂樹
東京都千代田区千代田１－１",皇居参観案内業務,Goods and Services,特財,国所管,1,Negotiated,8,h23_youshiki2-4
CAO,NA,2011-04-01,2011 Apr,2011,2528568,0,菊葉文化協会,公益財団法人菊葉文化協会,"財団法人菊葉文化協会
東京都千代田区千代田１－１",NA,"分任支出負担行為担当官
宮内庁京都事務所長
北　　啓太
京都府京都市上京区京都御苑３",京都御所ほか参観案内業務,Goods and Services,特財,国所管,1,Negotiated,8,h23_youshiki2-4
CAO,NA,2011-04-01,2011 Apr,2011,15690024,15690024,農林水産奨励会,財団法人農林水産奨励会,"財団法人　農林水産奨励会
東京都港区赤坂１－９－１３",NA,"支出負担行為担当官
会計担当内閣参事官
日下　正周
東京都千代田区永田町１－６－１",アイヌ政策推進室に係る事務室の賃貸借,Goods and Services,特財,国所管,0,Negotiated,0,h23_youshiki2-4
CAO,NA,2011-04-01,2011 Apr,2011,94455229,94455229,都市防災研究所,一般財団法人都市防災研究所,"（財）都市防災研究所
東京都千代田区丸の内２－４－１",NA,"支出負担行為担当官　
内閣府大臣官房会計担当参事官　二村　二三男
東京都千代田区永田町１－６－１",平成２３年度アジア等における国際防災協力の推進業務,Goods and Services,特財,国所管,1,Negotiated,0,h23_youshiki2-4
Consumer Affairs Agency,NA,2011-04-01,2011 Apr,2011,126000000,0,日本産業協会,財団法人日本産業協会,"財団法人日本産業協会
東京都千代田区内神田2-11-1",NA,"支出負担行為担当官
消費者庁総務課長　井内正敏
東京都千代田区永田町2-11-1",平成２３年度消費者政策委託「平成２３年度電子商取引モニタリング事業」,Goods and Services,特財,国所管,1,Competitive,NA,h23_youshiki2-3
Consumer Affairs Agency,NA,2011-04-01,2011 Apr,2011,11340000,0,日本産業協会,財団法人日本産業協会,"財団法人日本産業協会
東京都千代田区内神田2-11-1",NA,"支出負担行為担当官
消費者庁総務課長　井内正敏
東京都千代田区永田町2-11-1",平成２３年度特定商取引適正化事業（申出制度の広報等）,Goods and Services,特財,国所管,1,Competitive,NA,h23_youshiki2-3
Financial Services Agency,NA,2011-04-01,2011 Apr,2011,2520000,2520000,国際金融情報センタ-,公益財団法人国際金融情報センター,"（財）国際金融情報センター
東京都中央区日本橋小網町9-9",NA,"東京都千代田区霞が関3-2-1
支出負担行為担当官
金融庁総務企画局総務課長
三井　 秀範",国際金融情報センター（ＪＣＩＦ）オンラインサービス　 一式,Goods and Services,公財,国所管,1,Negotiated,0,h23_youshiki2-4
Financial Services Agency,NA,2011-04-01,2011 Apr,2011,3500000,3500000,自治体衛星通信機構,財団法人自治体衛星通信機構,"（財）自治体衛星通信機構
東京都港区虎ノ門5-12-1 虎ノ門ワイコービル7Ｆ",NA,"東京都千代田区霞が関3-2-1
支出負担行為担当官
金融庁総務企画局総務課長
三井　 秀範",公的個人認証サービスの利用に係る情報提供　 一式,Goods and Services,特財,国所管,1,Negotiated,0,h23_youshiki2-4
Financial Services Agency,NA,2011-04-01,2011 Apr,2011,0,0,行政情報システム研究所,社団法人行政情報システム研究所,"（社）行政情報システム研究所
東京都千代田区日比谷公園1-3",NA,"東京都千代田区霞が関3-2-1
支出負担行為担当官
金融庁総務企画局総務課長
三井　秀範",霞が関ＷＡＮ利用料金,Goods and Services,特社,国所管,1,Negotiated,0,h23_youshiki2-4
MAFF,NA,2011-04-01,2011 Apr,2011,18423300,0,マリノフォ-ラム21,一般社団法人マリノフォーラム２１,"社団法人マリノフォーラム２１
東京都台東区台東四丁目８番７号　友泉御徒町ビル８階",NA,"支出負担行為担当官　水産庁長官　佐藤正典
東京都千代田区霞が関１－２－１",平成23年度海外水産業協力基礎調査委託事業一式,Goods and Services,特社,国所管,3,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,11699100,0,マリノフォ-ラム21,一般社団法人マリノフォーラム２１,"①社団法人マリノフォーラム２１②国際気象海洋株式会社③独立行政法人水産総合研究センター
①東京都台東区台東４－８－７友泉御徒町ビル８Ｆ②東京都江東区毛利１－１８－８フジモトビル２階③神奈川県横浜市西区みなとみらい２－３－３クイーンズタワーＢ１５階",NA,"支出負担行為担当官　水産庁長官　佐藤正典
東京都千代田区霞が関１－２－１",平成23年度水産基盤整備調査委託事業「大水深に設置する魚礁の設計基準等の構築」一式,Goods and Services,特社,国所管,1,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,344610000,0,マリノフォ-ラム21,一般社団法人マリノフォーラム２１,"①芙蓉海洋開発株式会社
②日本ミクニヤ株式会社
③五洋建設株式会社
④社団法人マリノフォーラム２１　③九州支店
①東京都台東区蔵前三丁目15番7号
②神奈川県川崎市高津区溝口三丁目25番10号
③福岡県福岡市博多区博多駅南一丁目3番11号
④東京都台東区四丁目8番7号友泉御徒町ビル８階
",NA,"支出負担行為担当官　水産庁長官　佐藤正典
東京都千代田区霞が関1-2-1",平成23年度有明海漁場造成技術開発事業一式,Goods and Services,特社,国所管,1,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,118148100,0,マリノフォ-ラム21,一般社団法人マリノフォーラム２１,"社団法人マリノフォーラム２１
東京都台東区台東四丁目８番７号",NA,"支出負担行為担当官　水産庁長官　佐藤正典
東京都千代田区霞が関1-2-1",平成23年度国際漁業・輸入管理強化推進事業のうち科学オブザーバー分析事業一式,Goods and Services,特社,国所管,2,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,4218520,0,マリノフォ-ラム21,一般社団法人マリノフォーラム２１,"社団法人マリノフォーラム２１
東京都台東区台東4丁目8番7号",NA,"支出負担行為担当官　水産庁長官　佐藤正典
東京都千代田区霞が関1-2-1",平成23年度「ASEAN-SEAFDEC2020年に向けた食料安全保障のための持続的漁業会議」における展示会委託実施事業一式,Goods and Services,特社,国所管,4,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,6800000,0,全国漁港漁場協会,社団法人全国漁港漁場協会,"①社団法人全国漁港漁場協会②学校法人日本大学理工学部
①東京都港区赤坂１－９－１３三会堂ビル８階②東京都千代田区神田駿河台１－８－１４",NA,"支出負担行為担当官　水産庁長官　佐藤　正典
東京都千代田区霞が関１－２－１",平成23年度水産基盤整備調査委託事業「既存漁港施設の資産マネジメントに関する基礎調査」一式,Goods and Services,特財,国所管,2,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,14572000,0,全国漁港漁場協会,社団法人全国漁港漁場協会,"①株式会社地域開発研究所
②社団法人全国漁港漁場協会
①東京都台東区東上野２－７－６東上野T・Iビル　
②東京都港区赤坂１－９－１３三会堂ビル８階",NA,"支出負担行為担当官　水産庁長官　佐藤正典
東京都千代田区霞が関１－２－１",平成２３年度プレジャーボートの適正な係留・保管推進事業一式,Goods and Services,特社,国所管,1,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,6273461,0,全国生鮮食料品流通情報センタ-,社団法人全国生鮮食料品流通情報センター,"社団法人全国生鮮食料品流通情報センター
東京都台東区蔵前３－１２－８",NA,"支出負担行為担当官　農林水産省大臣官房経理課長　石田　寿
東京都千代田区霞が関１－２－１",「畜産物市況情報」の調査業務,Goods and Services,特社,国所管,2,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,13020000,0,全国豊かな海づくり推進協会,社団法人全国豊かな海づくり推進協会,"社団法人全国豊かな海づくり推進協会
東京都中央区日本橋小伝馬町９－６小伝馬町松村ビル６F",NA,"支出負担行為担当官　水産庁長官　佐藤正典
東京都千代田区霞が関１－２－１",平成23年度水産基盤整備調査委託事業「磯魚資源増大のための漁場整備手法開発」一式,Goods and Services,特社,国所管,2,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,21953400,0,全国農業共済協会,社団法人全国農業共済協会,"社団法人全国農業共済協会
東京都千代田区一番町１９",NA,"支出負担行為担当官　農林水産省経営局保険課長　渡邊　毅
東京都千代田区霞が関１－２－１",平成２３年度農業共済組合等収穫量に関するデータ収集事業,Goods and Services,特社,国所管,1,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,4127550,0,全日本労働福祉協会,財団法人全日本労働福祉協会,"財団法人全日本労働福祉協会 東北支部
山形県山形市西崎49-6",NA,"支出負担行為担当官
東北森林管理局長
矢部三雄
秋田県秋田市中通五丁目9-16","山形県内各森林管理署等職員の定期一般健康診断等委託
検査一式",Goods and Services,特財,国所管,1,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,32530575,0,労働保健協会,一般社団法人労働保健協会,"社団法人労働保健協会
東京都板橋区南町９－１１",NA,"支出負担行為担当官　農林水産省大臣官房経理課長　石田　寿
支出負担行為担当官　水産庁長官　佐藤　正典
食料安定供給特別会計支出負担行為担当官　総合食料局長　髙橋　博
農業共済再保険特別会計支出負担行為担当官　経営局保険課長　渡邊　毅
漁船再保険及び漁業共済保険特別会計支出負担行為担当官　水産庁長官　佐藤　正典
支出負担行為担当官　農林水産政策研究所長　長　清
東京都千代田区霞が関１－２－１
東京都千代田区霞が関１－２－１
東京都千代田区霞が関１－２－１
東京都千代田区霞が関１－２－１
東京都千代田区霞が関１－２－１
東京都千代田区霞が関３－１－１",健康診断業務（単価）,Goods and Services,特社,国所管,3,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,211680,0,四国電気保安協会,一般財団法人四国電気保安協会,"財団法人四国電気保安協会
高松市福岡町3丁目31番15号",NA,"支出負担行為担当官代理　高知地方法務局次長　渡部英司　分任支出負担行為担当官　中国四国農政局高知農政事務所長　山下勝也　支出負担行為担当官　高知労働局総務部長　石原保仁
高知市栄田町2丁目2番10号　高知市本町4丁目3番41号高知地方合同庁舎　高知市南金田1番39号",中村地方合同庁舎　電気保安管理業務,Goods and Services,特財,国所管,1,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,18900000,0,国際科学振興財団,公益財団法人国際科学振興財団,"財団法人国際科学振興財団
茨城県つくば市赤塚字牛ヶ淵５８６－９",NA,"支出負担行為担当官　農林水産技術会議事務局筑波事務所長　岡本典夫
茨城県つくば市観音台２－１－９",つくばWAN回線提供業務,Goods and Services,特財,国所管,0,Negotiated,0,h23_youshiki2-4
MAFF,NA,2011-04-01,2011 Apr,2011,36760000,0,大阪バイオサイエンス研究所,公益財団法人大阪バイオサイエンス研究所,"（財）大阪バイオサイエンス研究所
（大阪府吹田市古江台６－２－４）",NA,"生物系特定産業技術研究支援センター所長　前川泰一郎
（埼玉県さいたま市北区日進町１－４０－２）",睡眠改善機能を持つ候補素材の作用メカニズムの解明　1件,Goods and Services,特財,国所管,67,Negotiated,0,h23_youshiki3-4
MAFF,NA,2011-04-01,2011 Apr,2011,29117000,0,大阪バイオサイエンス研究所,公益財団法人大阪バイオサイエンス研究所,"（財）大阪バイオサイエンス研究所
（大阪府吹田市古江台６－２－４）",NA,"生物系特定産業技術研究支援センター所長　前川泰一郎
（埼玉県さいたま市北区日進町１－４０－２）",食欲反応を匂いで制御する新技術の開発　1件,Goods and Services,特財,国所管,81,Negotiated,0,h23_youshiki3-4
MAFF,NA,2011-04-01,2011 Apr,2011,6355125,0,愛知県公共嘱託登記土地家屋調査士協会,社団法人愛知県公共嘱託登記土地家屋調査士協会,"社団法人愛知県公共嘱託登記土地家屋調査士協会
名古屋市中区葵１－２７－３２",NA,"分任支出負担行為担当官　新矢作川用水農業水利事業所長　三好英幸
安城市大東町２２－１６",平成２３年度公共嘱託登記業務単価契約（表示に関する登記）,Goods and Services,特社,国所管,1,Competitive,NA,h23_youshiki2-3
MAFF,NA,2011-04-01,2011 Apr,2011,3223500,同種の他の契約の予定価格を類推させる恐れがあるため非公表とする。,日本システム開発研究所,財団法人日本システム開発研究所,"財団法人日本システム開発研究所
（東京都新宿区富久町16-5）",NA,"森林総合研究所
理事長　鈴木和夫
（茨城県つくば市松の里1）",出張旅費システム運用支援業務,Goods and Services,特財,国所管,1,Competitive,NA,h23_youshiki3-3
MAFF,NA,2011-04-01,2011 Apr,2011,2436000,0,日本システム開発研究所,財団法人日本システム開発研究所,"財団法人日本システム開発研究所
東京都新宿区富久町16-5",NA,"契約担当役

藤本　豊秋",会計システムの運用・保守業務,Goods and Services,特財,国所管,1,Negotiated,0,h23_youshiki3-4
MAFF,NA,2011-04-01,2011 Apr,2011,6300000,0,日本建設情報総合センタ-,一般財団法人日本建設情報総合センター,"財団法人日本建設情報総合センター
東京都港区赤坂７－１０－２０",NA,"支出負担行為担当官　農林水産省大臣官房経理課長　石田　寿
東京都千代田区霞が関１－２－１",公共調達検索ポータルサイト運用業務,Goods and Services,特財,国所管,0,Negotiated,4,h23_youshiki2-4
