granter_ministry,granter_jcn,grant_date,grant_month,grant_year,amount,amount_est,grantee_clean,grantee,grantee_detail,grantee_jcn,grant_name,description,grant_type,npo_type,admin_division,num_bidders,competitive_bid,contract_reason,govt_reemployees,filename
CAO,NA,2011-04-01,2011 Apr,2011,24150000,24430350,港湾空港建設技術サービスセンター,財団法人港湾空港建設技術サービスセンター,"財団法人港湾空港建設技術サービスセンター 
東京都千代田区霞が関３ー３ー１",NA,"分任支出負担行為担当官 沖縄総合事務局那覇港湾・空港整備事務所長 酒井　洋一
沖縄県那覇市港町２丁目６の１１",那覇空港発注補助業務,Public Works,特財,国所管,1,Competitive,NA,NA,h23_youshiki2-1
CAO,NA,2011-04-01,2011 Apr,2011,29400000,31014022,港湾空港建設技術サービスセンター,財団法人港湾空港建設技術サービスセンター,"財団法人港湾空港建設技術サービスセンター 
東京都千代田区霞が関３ー３ー１",NA,"分任支出負担行為担当官 沖縄総合事務局平良港湾事務所長 　小早川　弘
沖縄県宮古島市平良字西里７番地の２１",平良港発注補助業務,Public Works,特財,国所管,1,Competitive,NA,NA,h23_youshiki2-1
CAO,NA,2011-04-01,2011 Apr,2011,32550000,33508650,港湾空港建設技術サービスセンター,財団法人港湾空港建設技術サービスセンター,"財団法人港湾空港建設技術サービスセンター 
東京都千代田区霞が関３ー３ー１",NA,"分任支出負担行為担当官 沖縄総合事務局石垣港湾事務所長倉　康夫
沖縄県石垣市美崎町１番地の１０",石垣港発注補助業務,Public Works,特財,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MAFF,NA,2011-04-01,2011 Apr,2011,13440000,15918000,経済調査会,一般財団法人経済調査会,"財団法人経済調査会 中部支部
名古屋市中区栄二丁目10番19号",NA,"分任支出負担行為担当官　東海農政局土地改良技術事務所長　河野　俊正
名古屋市中区三の丸一丁目2番2号","設計材料単価実態調査業務
土地改良技術事務所
平成23年4月1日～平成24年3月26日
設計",Public Works,特財,国所管,2,Competitive,NA,NA,h23_youshiki2-1
MAFF,NA,2011-04-01,2011 Apr,2011,18375000,19456500,農業農村整備情報総合センター,社団法人農業農村整備情報総合センター,"社団法人農業農村整備情報総合センター
東京都中央区日本橋富沢町１０－１６",NA,"分任支出負担行為担当官　東海農政局木曽川水系土地改良調査管理事務所長　　宮﨑敏行
愛知県名古屋市昭和区安田通４－８","平成２３年度　国営造成施設直轄管理事業 濃尾用水地区犬山頭首工管理業務
愛知県犬山市大字犬山地内、木津地内及び岐阜県各務原市鵜沼小伊木町地内
平成２３年４月１日～平成２４年３月３１日
その他",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,42525000,52521000,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０",NA,"分任支出負担行為担当官
中国地方整備局
岡山国道事務所長　垣下　禎裕
岡山県岡山市北区富町2-19-12","岡山国道玉島笠岡道路外工事監督支援業務
玉島笠岡道路及び倉敷立体監督員管内
履行期限　平成24年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,4,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,58275000,60490500,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０",NA,"分任支出負担行為担当官
中国地方整備局
中国技術事務所長　森川　数美
広島市安芸区船越南2-8-1","材料管理分析業務
広島県広島市安芸区船越南２丁目地内
履行期限　平成24年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,2,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,59745000,68911500,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０",NA,"分任支出負担行為担当官
中国地方整備局
中国技術事務所長　森川　数美
広島市安芸区船越南2-8-1","水質分析管理業務
広島県広島市安芸区
履行期限　平成24年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,3,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,23835000,24843000,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
福山河川国道事務所長　藤原　武夫
広島県福山市三吉町4-4-13","芦田川河口堰管理支援業務
広島県福山市箕島町地先
履行期限　平成24年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,28350000,29809500,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
福山河川国道事務所長　藤原　武夫
広島県福山市三吉町4-4-13","芦田川河川巡視支援業務
広島県福山市
履行期限　平成25年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,2,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,30870000,39060000,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
福山河川国道事務所長　藤原　武夫
広島県福山市三吉町4-4-13","芦田川工事監督支援業務
福山河川国道事務所管内
履行期限　平成25年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,2,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,17850000,18207000,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
岡山河川事務所長　植田　彰
岡山県岡山市北区鹿田町2-4-36","岡山河川積算技術業務
岡山県岡山市
履行期限　平成24年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,82950000,84231000,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
岡山国道事務所長　垣下　禎裕
岡山県岡山市北区富町2-19-12","岡山国道管理第二課積算技術業務
岡山県岡山市
履行期限　平成25年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,44100000,44824500,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
岡山国道事務所長　垣下　禎裕
岡山県岡山市北区富町2-19-12","岡山国道共同溝課積算技術業務
岡山国道事務所管内
履行期限　平成25年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,14910000,18490500,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
岡山国道事務所長　垣下　禎裕
岡山県岡山市北区富町2-19-12","岡山国道玉島交安外工事監督支援業務
玉島維持出張所管内
履行期限　平成24年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,7,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,26145000,26575500,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
岡山国道事務所長　垣下　禎裕
岡山県岡山市北区富町2-19-12","岡山国道交通対策課積算技術業務
岡山県岡山市
履行期限　平成24年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,56700000,70539000,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
岡山国道事務所長　垣下　禎裕
岡山県岡山市北区富町2-19-12","岡山国道鳥取自動車道工事監督支援業務
岡山県英田郡西粟倉村
履行期限　平成25年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,2,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,152775000,153961500,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
岡山国道事務所長　垣下　禎裕
岡山県岡山市北区富町2-19-12","岡山国道道路管理支援業務
岡山県岡山市
履行期限　平成26年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,85470000,86499000,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
岡山国道事務所長　垣下　禎裕
岡山県岡山市北区富町2-19-12","岡山国道特車申請支援業務
岡山県岡山市
履行期限　平成25年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,20055000,20422500,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
岡山河川事務所長　植田　彰
岡山県岡山市北区鹿田町2-4-36","岡山三河川許認可審査支援業務
岡山河川事務所管内
履行期限　平成24年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,42525000,43113000,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
岡山河川事務所長　植田　彰
岡山県岡山市北区鹿田町2-4-36","岡山三河川巡視支援業務
岡山河川事務所管内
履行期限　平成24年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,81480000,81942000,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
温井ダム管理所長　植田　光明
広島県山県郡安芸太田町大字加計1956-2","温井ダム管理支援業務
広島県山県郡安芸太田町大字加計地内
履行期限　平成25年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,81060000,81322500,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
広島国道事務所長　三橋　勝彦
広島県広島市南区東雲2-13-28","可部・広島道路管理支援業務
広島国道事務所（可部国道出張所・広島維持出張所）管内
履行期限　平成25年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,40740000,40981500,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
三次河川国道事務所長　塩形　幸雄
広島県三次市十日市西6-2-1","灰塚ダム管理支援業務
広島県三次市三良坂町仁賀、吉舎町安田及び庄原市総領町稲草地先
履行期限　平成24年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,62370000,62622000,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
広島国道事務所長　三橋　勝彦
広島県広島市南区東雲2-13-28","呉・西条道路管理支援業務
広島国道事務所（呉国道出張所・西条維持出張所）管内
履行期限　平成25年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,14175000,14238000,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
広島国道事務所長　三橋　勝彦
広島県広島市南区東雲2-13-28","広島国道技術審査業務
広島国道事務所管内
履行期限　平成24年3月29日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,26040000,26187000,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
広島国道事務所長　三橋　勝彦
広島県広島市南区東雲2-13-28","広島国道共同溝外積算技術業務
広島国道事務所管内
履行期限　平成24年3月30日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,21315000,21651000,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
広島国道事務所長　三橋　勝彦
広島県広島市南区東雲2-13-28","広島国道交通対策関係積算技術業務
広島国道事務所管内
履行期限　平成24年3月30日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,139650000,139723500,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
広島国道事務所長　三橋　勝彦
広島県広島市南区東雲2-13-28","広島国道特車許認可審査・取締支援業務
広島国道事務所及び取締基地（西条管理所・大竹車両計量所・呉取締基地）
履行期限　平成25年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,30240000,30261000,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
三次河川国道事務所長　塩形　幸雄
広島県三次市十日市西6-2-1","江の川上流河川巡視支援業務
広島県三次市作木町～安芸高田市八千代町地先
履行期限　平成25年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,29400000,30796500,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
浜田河川国道事務所長　安達　久仁彦
島根県浜田市相生町3973","高津川・江の川河川巡視支援業務
浜田河川国道事務所管内
履行期限　平成24年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,2,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,43575000,43995000,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
山口河川国道事務所長　池田　憲二
山口県防府市国衙1-10-20","佐波川河川巡視支援業務
山口県防府市、山口市徳地堀
履行期限　平成26年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,49140000,49896000,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
岡山河川事務所長　植田　彰
岡山県岡山市北区鹿田町2-4-36","坂根堰管理支援業務
岡山県備前市坂根字土井地先
履行期限　平成25年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,14385000,14479500,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
三次河川国道事務所長　塩形　幸雄
広島県三次市十日市西6-2-1","三次河川国道事務所技術審査業務
三次河川国道事務所
履行期限　平成24年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,23730000,24097500,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
三次河川国道事務所長　塩形　幸雄
広島県三次市十日市西6-2-1","三次積算技術業務
広島県三次市
履行期限　平成24年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,10395000,10531500,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
三次河川国道事務所長　塩形　幸雄
広島県三次市十日市西6-2-1","三次道路管理支援業務
三次河川国道事務所管内
履行期限　平成24年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,2,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,10605000,10752000,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
三次河川国道事務所長　塩形　幸雄
広島県三次市十日市西6-2-1","三次特車申請支援業務
三次河川国道事務所管内
履行期限　平成24年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,31500000,32088000,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
山口河川国道事務所長　池田　憲二
山口県防府市国衙1-10-20","山口河川関係積算技術業務
山口県防府市
履行期限　平成24年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,4830000,4861500,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
山口河川国道事務所長　池田　憲二
山口県防府市国衙1-10-20","山口河川国道技術審査業務
山口県防府市国衙一丁目１０番２０号
履行期限　平成24年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,58065000,59052000,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
山口河川国道事務所長　池田　憲二
山口県防府市国衙1-10-20","山口交通対策積算技術業務
山口県防府市
履行期限　平成25年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,84105000,85396500,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
山口河川国道事務所長　池田　憲二
山口県防府市国衙1-10-20","山口西部地区改築積算技術業務
山口県防府市国衙一丁目１０－２０
履行期限　平成25年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,62475000,62790000,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
山口河川国道事務所長　池田　憲二
山口県防府市国衙1-10-20","山口西部道路管理支援業務
山口河川国道事務所
履行期限　平成25年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,21000000,21346500,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
山口河川国道事務所長　池田　憲二
山口県防府市国衙1-10-20","山口東部改築積算技術業務
山口県防府市国衙一丁目１０－２０
履行期限　平成24年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,62475000,62790000,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
山口河川国道事務所長　池田　憲二
山口県防府市国衙1-10-20","山口東部道路管理支援業務
山口河川国道事務所
履行期限　平成25年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,86835000,88189500,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
山口河川国道事務所長　池田　憲二
山口県防府市国衙1-10-20","山口道路管理積算技術業務
山口県防府市
履行期限　平成25年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
MLIT,NA,2011-04-01,2011 Apr,2011,112035000,113158500,中国建設弘済会,社団法人中国建設弘済会,"（社）中国建設弘済会
広島県広島市中区八丁堀１５－１０　セントラルビル４階",NA,"分任支出負担行為担当官
中国地方整備局
山口河川国道事務所長　池田　憲二
山口県防府市国衙1-10-20","山口特車申請支援業務
山口河川国道事務所
履行期限　平成25年3月31日
土木関係建設コンサルタント業務",Public Works,特社,国所管,1,Competitive,NA,NA,h23_youshiki2-1
